date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:50	128/128	---M--	200	added ('OK')	text/plain	etag:%2204925a716ff2ac0f98814fd63f925a83%22	https://www.elephant-skin.com/robots.txt		(from )
17:50:50	104239/104239	---MCZ	200	added ('OK')	text/html	etag:W/%22db117bd1100dbe4a62ce9dc190db235f%22	https://www.elephant-skin.com/	C:/My%20Web%20Sites/Dummy/www.elephant-skin.com/index.html	(from )
17:50:51	1260/1260	---M--	200	added ('OK')	image/png	etag:%22f2aeedfb2a432d9394879db9f1e0d754%22	https://www.elephant-skin.com/favicon-32.png	C:/My%20Web%20Sites/Dummy/www.elephant-skin.com/favicon-32.png	(from https://www.elephant-skin.com/)
17:50:51	519/519	---M--	200	added ('OK')	image/png	etag:%22105b435b7448cbb59b8da985514b58a0%22	https://www.elephant-skin.com/favicon-16.png	C:/My%20Web%20Sites/Dummy/www.elephant-skin.com/favicon-16.png	(from https://www.elephant-skin.com/)
17:50:52	4099/4099	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%220c31932d9487ab207c1b58e2283feaeb%22	https://www.elephant-skin.com/favicon.ico	C:/My%20Web%20Sites/Dummy/www.elephant-skin.com/favicon.ico	(from https://www.elephant-skin.com/)
17:50:52	14068/14068	---M--	200	added ('OK')	image/png	etag:%2277bd761e2209d71ad755c64017b91299%22	https://www.elephant-skin.com/apple-touch-icon.png	C:/My%20Web%20Sites/Dummy/www.elephant-skin.com/apple-touch-icon.png	(from https://www.elephant-skin.com/)
17:50:53	462/462	---M--	200	added ('OK')	application/json	etag:%22723b883c8c7c30ca75a79223f793e58e%22	https://www.elephant-skin.com/manifest.json	C:/My%20Web%20Sites/Dummy/www.elephant-skin.com/manifest.json	(from https://www.elephant-skin.com/)
17:50:53	199777/199777	---M--	200	added ('OK')	image/jpeg	etag:%22d630102633061186aedbf157d1bb313c%22	https://www.elephant-skin.com/og-tempo.jpg	C:/My%20Web%20Sites/Dummy/www.elephant-skin.com/og-tempo.jpg	(from https://www.elephant-skin.com/)
17:50:54	1185/1185	---MCZ	200	added ('OK')	application/javascript	etag:W/%224ab58b1a7bbcb18b0f9cf6242efe8751%22	https://www.elephant-skin.com/analytics.js	C:/My%20Web%20Sites/Dummy/www.elephant-skin.com/analytics.js	(from https://www.elephant-skin.com/)
17:50:54	55880/55880	---MCZ	200	added ('OK')	font/otf	etag:W/%224a4df23b3879cf45fc609669a39edc92%22	https://www.elephant-skin.com/Etna.otf	C:/My%20Web%20Sites/Dummy/www.elephant-skin.com/Etna.otf	(from https://www.elephant-skin.com/)
